timestamp,robot_id,x,y,angle,qx,qy,qz,qw,detected
1773077953.620555,8,1.706329,0.225660,-73.6781,0.0,0.0,-0.599569,0.800323,1
1773077953.620555,9,1.512898,0.089860,-85.4290,0.0,0.0,-0.678345,0.734743,1
1773077953.620555,10,1.544374,0.426364,-136.9385,0.0,0.0,-0.930221,0.367001,1
1773077953.620555,7,,,,,,,,0
1773077953.793285,8,1.706304,0.225694,-73.5119,0.0,0.0,-0.598408,0.801192,1
1773077953.793285,9,1.512869,0.089912,-85.6026,0.0,0.0,-0.679458,0.733715,1
1773077953.793285,10,1.544424,0.426340,-136.9781,0.0,0.0,-0.930348,0.366679,1
1773077953.793285,7,,,,,,,,0
1773077953.927682,8,1.706373,0.225732,-73.5928,0.0,0.0,-0.598974,0.800769,1
1773077953.927682,9,1.512852,0.089913,-85.4531,0.0,0.0,-0.678500,0.734600,1
1773077953.927682,10,1.544423,0.426280,-137.0967,0.0,0.0,-0.930726,0.365716,1
1773077953.927682,7,,,,,,,,0
1773077954.046897,8,1.706367,0.225705,-73.6217,0.0,0.0,-0.599175,0.800618,1
1773077954.046897,9,1.512873,0.089856,-85.3548,0.0,0.0,-0.677870,0.735182,1
1773077954.046897,10,1.544359,0.426319,-136.9213,0.0,0.0,-0.930166,0.367140,1
1773077954.046897,7,,,,,,,,0
1773077954.171236,8,1.706385,0.225669,-73.6926,0.0,0.0,-0.599670,0.800247,1
1773077954.171236,9,1.512866,0.089833,-85.3437,0.0,0.0,-0.677799,0.735248,1
1773077954.171236,10,1.544429,0.426327,-137.0154,0.0,0.0,-0.930467,0.366376,1
1773077954.171236,7,,,,,,,,0
1773077954.320510,8,1.706359,0.225775,-73.5731,0.0,0.0,-0.598836,0.800872,1
1773077954.320510,9,1.512875,0.089949,-85.5212,0.0,0.0,-0.678936,0.734197,1
1773077954.320510,10,1.544397,0.426293,-137.0920,0.0,0.0,-0.930711,0.365754,1
1773077954.320510,7,,,,,,,,0
1773077954.460876,8,1.706380,0.225751,-73.7337,0.0,0.0,-0.599957,0.800032,1
1773077954.460876,9,1.512832,0.089863,-85.4410,0.0,0.0,-0.678422,0.734672,1
1773077954.460876,10,1.544415,0.426223,-137.0444,0.0,0.0,-0.930560,0.366140,1
1773077954.460876,7,,,,,,,,0
1773077954.589569,8,1.706403,0.225703,-73.6152,0.0,0.0,-0.599130,0.800652,1
1773077954.589569,9,1.512827,0.089877,-85.3609,0.0,0.0,-0.677909,0.735146,1
1773077954.589569,10,1.544429,0.426265,-137.0566,0.0,0.0,-0.930599,0.366041,1
1773077954.589569,7,,,,,,,,0
1773077954.707573,8,1.706389,0.225729,-73.5839,0.0,0.0,-0.598911,0.800815,1
1773077954.707573,9,1.512826,0.089846,-85.3727,0.0,0.0,-0.677984,0.735076,1
1773077954.707573,10,1.544447,0.426334,-137.1508,0.0,0.0,-0.930899,0.365276,1
1773077954.707573,7,,,,,,,,0
1773077954.805331,8,1.706307,0.225604,-73.5384,0.0,0.0,-0.598593,0.801053,1
1773077954.805331,9,1.512822,0.089875,-85.3403,0.0,0.0,-0.677777,0.735268,1
1773077954.805331,10,1.544441,0.426302,-136.9299,0.0,0.0,-0.930193,0.367071,1
1773077954.805331,7,,,,,,,,0
1773077954.898009,8,1.706387,0.225625,-73.5976,0.0,0.0,-0.599007,0.800744,1
1773077954.898009,9,1.512880,0.089877,-85.3615,0.0,0.0,-0.677913,0.735143,1
1773077954.898009,10,1.544480,0.426330,-137.0486,0.0,0.0,-0.930573,0.366107,1
1773077954.898009,7,,,,,,,,0
1773077954.973502,8,1.706347,0.224851,-73.8185,0.0,0.0,-0.600549,0.799588,1
1773077954.973502,9,1.512653,0.089017,-85.3563,0.0,0.0,-0.677879,0.735173,1
1773077954.973502,10,1.544357,0.425819,-136.8904,0.0,0.0,-0.930067,0.367391,1
1773077954.973502,7,,,,,,,,0
1773077955.057833,8,1.704392,0.221868,-73.7638,0.0,0.0,-0.600168,0.799874,1
1773077955.057833,9,,,,,,,,0
