timestamp,robot_id,x,y,angle,qx,qy,qz,qw,detected
1773078105.045747,8,1.652676,0.255737,-44.4834,0.0,0.0,-0.378515,0.925595,1
1773078105.045747,9,1.512848,0.089863,-85.4195,0.0,0.0,-0.678285,0.734799,1
1773078105.045747,10,1.544404,0.426420,-137.0127,0.0,0.0,-0.930458,0.366398,1
1773078105.045747,7,,,,,,,,0
1773078105.162945,8,1.652726,0.255853,-44.4429,0.0,0.0,-0.378187,0.925729,1
1773078105.162945,9,1.512827,0.089921,-85.3619,0.0,0.0,-0.677915,0.735140,1
1773078105.162945,10,1.544473,0.426386,-136.9973,0.0,0.0,-0.930409,0.366523,1
1773078105.162945,7,,,,,,,,0
1773078105.261176,8,1.652706,0.255816,-44.5476,0.0,0.0,-0.379033,0.925383,1
1773078105.261176,9,1.512879,0.089901,-85.3644,0.0,0.0,-0.677931,0.735125,1
1773078105.261176,10,1.544419,0.426376,-136.9747,0.0,0.0,-0.930337,0.366707,1
1773078105.261176,7,,,,,,,,0
1773078105.367761,8,1.652676,0.255798,-44.4988,0.0,0.0,-0.378639,0.925544,1
1773078105.367761,9,1.512863,0.089928,-85.5225,0.0,0.0,-0.678945,0.734190,1
1773078105.367761,10,1.544394,0.426394,-136.9277,0.0,0.0,-0.930186,0.367088,1
1773078105.367761,7,,,,,,,,0
1773078105.504212,8,1.652680,0.255814,-44.5874,0.0,0.0,-0.379355,0.925251,1
1773078105.504212,9,1.512890,0.089880,-85.3665,0.0,0.0,-0.677945,0.735113,1
1773078105.504212,10,1.544453,0.426420,-137.1962,0.0,0.0,-0.931044,0.364908,1
1773078105.504212,7,,,,,,,,0
1773078105.614854,8,1.652706,0.255779,-44.4879,0.0,0.0,-0.378551,0.925581,1
1773078105.614854,9,1.512852,0.089833,-85.4262,0.0,0.0,-0.678328,0.734760,1
1773078105.614854,10,1.544427,0.426369,-137.0397,0.0,0.0,-0.930545,0.366179,1
1773078105.614854,7,,,,,,,,0
1773078105.766817,8,1.652659,0.255741,-44.5777,0.0,0.0,-0.379276,0.925283,1
1773078105.766817,9,1.512917,0.089917,-85.3854,0.0,0.0,-0.678066,0.735001,1
1773078105.766817,10,1.544381,0.426402,-136.9206,0.0,0.0,-0.930163,0.367146,1
1773078105.766817,7,,,,,,,,0
1773078105.933788,8,1.652670,0.255792,-44.6033,0.0,0.0,-0.379483,0.925199,1
1773078105.933788,9,1.512918,0.089859,-85.3564,0.0,0.0,-0.677880,0.735173,1
1773078105.933788,10,1.544401,0.426327,-137.1678,0.0,0.0,-0.930953,0.365138,1
1773078105.933788,7,,,,,,,,0
1773078106.093862,8,1.652705,0.255828,-44.4804,0.0,0.0,-0.378490,0.925605,1
1773078106.093862,9,1.512886,0.089869,-85.4793,0.0,0.0,-0.678668,0.734445,1
1773078106.093862,10,1.544430,0.426378,-136.9980,0.0,0.0,-0.930411,0.366518,1
1773078106.093862,7,,,,,,,,0
1773078106.262387,8,1.652674,0.255747,-44.6018,0.0,0.0,-0.379471,0.925204,1
1773078106.262387,9,1.512847,0.089871,-85.3859,0.0,0.0,-0.678069,0.734998,1
1773078106.262387,10,1.544433,0.426359,-137.0494,0.0,0.0,-0.930576,0.366100,1
1773078106.262387,7,,,,,,,,0
1773078106.355067,8,1.652704,0.255836,-44.5097,0.0,0.0,-0.378727,0.925508,1
1773078106.355067,9,1.512893,0.089837,-85.4386,0.0,0.0,-0.678407,0.734686,1
1773078106.355067,10,1.544411,0.426405,-137.0919,0.0,0.0,-0.930711,0.365755,1
1773078106.355067,7,,,,,,,,0
1773078106.449624,8,1.652696,0.255797,-44.5498,0.0,0.0,-0.379051,0.925376,1
1773078106.449624,9,1.512875,0.089908,-85.5726,0.0,0.0,-0.679266,0.733892,1
1773078106.449624,10,1.544416,0.426279,-137.1109,0.0,0.0,-0.930772,0.365601,1
1773078106.449624,7,,,,,,,,0
1773078106.537566,8,1.651152,0.253206,-45.1666,0.0,0.0,-0.384026,0.923322,1
1773078106.537566,9,1.511002,0.086813,-86.0760,0.0,0.0,-0.682483,0.730901,1
1773078106.537566,10,1.542951,0.424000,-136.8944,0.0,0.0,-0.930080,0.367358,1
1773078106.537566,7,,,,,,,,0
1773078106.632981,8,1.651942,0.254112,-44.5511,0.0,0.0,-0.379061,0.925372,1
1773078106.632981,9,,,,,,,,0
1773078106.632981,10,1.543641,0.424763,-137.0764,0.0,0.0,-0.930662,0.365881,1
1773078106.632981,7,,,,,,,,0
1773078106.727049,8,1.652023,0.254098,-44.5087,0.0,0.0,-0.378719,0.925512,1
1773078106.727049,9,,,,,,,,0
1773078106.727049,10,1.543766,0.424576,-136.9539,0.0,0.0,-0.930270,0.366876,1
1773078106.727049,7,,,,,,,,0
1773078106.820300,8,1.652061,0.254114,-44.6082,0.0,0.0,-0.379522,0.925183,1
