timestamp,robot_id,x,y,angle,qx,qy,qz,qw,detected
1773078590.025409,8,1.653032,0.255912,-44.5099,0.0,0.0,-0.378729,0.925508,1
1773078590.025409,9,,,,,,,,0
1773078590.025409,10,1.544643,0.426509,-137.0028,0.0,0.0,-0.930426,0.366479,1
1773078590.025409,7,,,,,,,,0
1773078590.192417,8,1.652968,0.255949,-44.6244,0.0,0.0,-0.379653,0.925129,1
1773078590.192417,9,,,,,,,,0
1773078590.192417,10,1.544672,0.426494,-137.0752,0.0,0.0,-0.930658,0.365891,1
1773078590.192417,7,,,,,,,,0
1773078590.350291,8,1.653004,0.255946,-44.5029,0.0,0.0,-0.378672,0.925531,1
1773078590.350291,9,,,,,,,,0
1773078590.350291,10,1.544759,0.426502,-137.0745,0.0,0.0,-0.930656,0.365896,1
1773078590.350291,7,,,,,,,,0
1773078590.476888,8,1.653065,0.255951,-44.6123,0.0,0.0,-0.379555,0.925169,1
1773078590.476888,9,,,,,,,,0
1773078590.476888,10,1.544705,0.426481,-137.0677,0.0,0.0,-0.930634,0.365951,1
1773078590.476888,7,,,,,,,,0
1773078590.630476,8,1.653032,0.255902,-44.4784,0.0,0.0,-0.378474,0.925612,1
1773078590.630476,9,,,,,,,,0
1773078590.630476,10,1.544656,0.426481,-137.0436,0.0,0.0,-0.930557,0.366147,1
1773078590.630476,7,,,,,,,,0
1773078590.742332,8,1.653039,0.255930,-44.5453,0.0,0.0,-0.379015,0.925391,1
1773078590.742332,9,,,,,,,,0
1773078590.742332,10,1.544670,0.426515,-137.1234,0.0,0.0,-0.930812,0.365499,1
1773078590.742332,7,,,,,,,,0
1773078590.840165,8,1.653032,0.255919,-44.4517,0.0,0.0,-0.378258,0.925700,1
1773078590.840165,9,,,,,,,,0
1773078590.840165,10,1.544665,0.426477,-137.1214,0.0,0.0,-0.930805,0.365515,1
1773078590.840165,7,,,,,,,,0
1773078590.963928,8,1.653075,0.255922,-44.4315,0.0,0.0,-0.378096,0.925767,1
1773078590.963928,9,,,,,,,,0
1773078590.963928,10,1.544604,0.426475,-137.1231,0.0,0.0,-0.930811,0.365502,1
1773078590.963928,7,,,,,,,,0
1773078591.073699,8,1.653028,0.255965,-44.4498,0.0,0.0,-0.378243,0.925706,1
1773078591.073699,9,,,,,,,,0
1773078591.073699,10,1.544642,0.426520,-137.0419,0.0,0.0,-0.930551,0.366161,1
1773078591.073699,7,,,,,,,,0
1773078591.228774,8,1.652994,0.255902,-44.5248,0.0,0.0,-0.378849,0.925459,1
1773078591.228774,9,,,,,,,,0
1773078591.228774,10,1.544673,0.426481,-137.1885,0.0,0.0,-0.931019,0.364970,1
1773078591.228774,7,,,,,,,,0
1773078591.381489,8,1.652972,0.255979,-44.4692,0.0,0.0,-0.378400,0.925642,1
1773078591.381489,9,,,,,,,,0
1773078591.381489,10,1.544628,0.426444,-137.1404,0.0,0.0,-0.930866,0.365361,1
1773078591.381489,7,,,,,,,,0
1773078591.514537,8,1.653037,0.255848,-44.5813,0.0,0.0,-0.379305,0.925272,1
1773078591.514537,9,,,,,,,,0
1773078591.514537,10,1.544717,0.426419,-137.1575,0.0,0.0,-0.930921,0.365222,1
1773078591.514537,7,,,,,,,,0
1773078591.619806,8,,,,,,,,0
1773078591.619806,9,,,,,,,,0
1773078591.619806,10,1.542410,0.422925,-136.0639,0.0,0.0,-0.927393,0.374089,1
1773078591.619806,7,,,,,,,,0
1773078591.729388,8,1.652319,0.254267,-44.3658,0.0,0.0,-0.377564,0.925983,1
