timestamp,robot_id,x,y,angle,qx,qy,qz,qw,detected
1773078672.129689,8,1.653027,0.255918,-44.5450,0.0,0.0,-0.379012,0.925392,1
1773078672.129689,9,,,,,,,,0
1773078672.129689,10,1.544697,0.426556,-137.0778,0.0,0.0,-0.930666,0.365869,1
1773078672.129689,7,,,,,,,,0
1773078672.231317,8,1.653060,0.255934,-44.3977,0.0,0.0,-0.377822,0.925878,1
1773078672.231317,9,,,,,,,,0
1773078672.231317,10,1.544724,0.426534,-137.0425,0.0,0.0,-0.930553,0.366156,1
1773078672.231317,7,,,,,,,,0
1773078672.346296,8,1.653027,0.255927,-44.4716,0.0,0.0,-0.378419,0.925634,1
1773078672.346296,9,,,,,,,,0
1773078672.346296,10,1.544674,0.426553,-137.1224,0.0,0.0,-0.930809,0.365507,1
1773078672.346296,7,,,,,,,,0
1773078672.450861,8,1.653053,0.255935,-44.4818,0.0,0.0,-0.378502,0.925600,1
1773078672.450861,9,,,,,,,,0
1773078672.450861,10,1.544724,0.426501,-136.9700,0.0,0.0,-0.930322,0.366745,1
1773078672.450861,7,,,,,,,,0
1773078672.541108,8,1.653077,0.255982,-44.2705,0.0,0.0,-0.376795,0.926297,1
1773078672.541108,9,,,,,,,,0
1773078672.541108,10,1.544710,0.426534,-137.0325,0.0,0.0,-0.930521,0.366237,1
1773078672.541108,7,,,,,,,,0
1773078672.624816,8,1.653043,0.255952,-44.5813,0.0,0.0,-0.379305,0.925272,1
1773078672.624816,9,,,,,,,,0
1773078672.624816,10,1.544706,0.426539,-137.1925,0.0,0.0,-0.931032,0.364938,1
1773078672.624816,7,,,,,,,,0
1773078672.726264,8,1.653037,0.255951,-44.4580,0.0,0.0,-0.378309,0.925679,1
1773078672.726264,9,,,,,,,,0
1773078672.726264,10,1.544669,0.426511,-137.1286,0.0,0.0,-0.930828,0.365457,1
1773078672.726264,7,,,,,,,,0
1773078672.821279,8,1.653032,0.255935,-44.5259,0.0,0.0,-0.378858,0.925455,1
1773078672.821279,9,,,,,,,,0
1773078672.821279,10,1.544738,0.426500,-137.0638,0.0,0.0,-0.930622,0.365983,1
1773078672.821279,7,,,,,,,,0
1773078672.905199,8,1.653013,0.255951,-44.4658,0.0,0.0,-0.378373,0.925653,1
1773078672.905199,9,,,,,,,,0
1773078672.905199,10,1.544689,0.426448,-137.1810,0.0,0.0,-0.930995,0.365031,1
1773078672.905199,7,,,,,,,,0
1773078672.994057,8,1.653098,0.255948,-44.5229,0.0,0.0,-0.378833,0.925465,1
1773078672.994057,9,,,,,,,,0
1773078672.994057,10,1.544695,0.426526,-136.9821,0.0,0.0,-0.930360,0.366647,1
1773078672.994057,7,,,,,,,,0
1773078673.087744,8,1.653005,0.255884,-44.4791,0.0,0.0,-0.378479,0.925610,1
1773078673.087744,9,,,,,,,,0
1773078673.087744,10,1.544667,0.426485,-137.0730,0.0,0.0,-0.930651,0.365909,1
1773078673.087744,7,,,,,,,,0
1773078673.181454,8,1.652995,0.255946,-44.5089,0.0,0.0,-0.378720,0.925511,1
1773078673.181454,9,,,,,,,,0
1773078673.181454,10,1.544659,0.426461,-137.1040,0.0,0.0,-0.930750,0.365657,1
1773078673.181454,7,,,,,,,,0
1773078673.273455,8,1.653028,0.255900,-44.5602,0.0,0.0,-0.379135,0.925341,1
1773078673.273455,9,,,,,,,,0
1773078673.273455,10,1.544658,0.426533,-137.1096,0.0,0.0,-0.930768,0.365611,1
1773078673.273455,7,,,,,,,,0
1773078673.384408,8,1.653094,0.255934,-44.4902,0.0,0.0,-0.378569,0.925573,1
1773078673.384408,9,,,,,,,,0
1773078673.384408,10,1.544688,0.426552,-137.0666,0.0,0.0,-0.930631,0.365960,1
1773078673.384408,7,,,,,,,,0
1773078673.498320,8,1.653046,0.255862,-44.4924,0.0,0.0,-0.378587,0.925566,1
1773078673.498320,9,,,,,,,,0
1773078673.498320,10,1.544652,0.426429,-137.1177,0.0,0.0,-0.930793,0.365546,1
1773078673.498320,7,,,,,,,,0
1773078673.613611,8,,,,,,,,0
1773078673.613611,9,,,,,,,,0
1773078673.613611,10,1.542573,0.422510,-137.3882,0.0,0.0,-0.931654,0.363347,1
1773078673.613611,7,,,,,,,,0
1773078673.714088,8,1.651931,0.254005,-44.5944,0.0,0.0,-0.379411,0.925228,1
1773078673.714088,9,,,,,,,,0
1773078673.714088,10,1.543509,0.424321,-136.9883,0.0,0.0,-0.930380,0.366596,1
1773078673.714088,7,,,,,,,,0
1773078673.859534,8,1.652279,0.254288,-44.4270,0.0,0.0,-0.378059,0.925781,1
1773078673.859534,9,,,,,,,,0
1773078673.859534,10,1.543988,0.424956,-137.0413,0.0,0.0,-0.930550,0.366166,1
1773078673.859534,7,,,,,,,,0
1773078673.977338,8,1.652277,0.254364,-44.4250,0.0,0.0,-0.378043,0.925788,1
1773078673.977338,9,,,,,,,,0
1773078673.977338,10,1.544030,0.424944,-137.0017,0.0,0.0,-0.930423,0.366487,1
1773078673.977338,7,,,,,,,,0
1773078674.062502,8,1.652217,0.254400,-44.4742,0.0,0.0,-0.378440,0.925626,1
1773078674.062502,9,,,,,,,,0
1773078674.062502,10,1.543994,0.424885,-137.1656,0.0,0.0,-0.930946,0.365157,1
1773078674.062502,7,,,,,,,,0
1773078674.177247,8,1.652337,0.254323,-44.4814,0.0,0.0,-0.378498,0.925602,1
1773078674.177247,9,,,,,,,,0
1773078674.177247,10,1.544009,0.424987,-137.0150,0.0,0.0,-0.930466,0.366379,1
1773078674.177247,7,,,,,,,,0
1773078674.289589,8,1.652281,0.254365,-44.6553,0.0,0.0,-0.379902,0.925027,1
1773078674.289589,9,,,,,,,,0
1773078674.289589,10,1.544055,0.424946,-137.0969,0.0,0.0,-0.930727,0.365714,1
1773078674.289589,7,,,,,,,,0
1773078674.417897,8,1.652375,0.254309,-44.4370,0.0,0.0,-0.378139,0.925749,1
1773078674.417897,9,,,,,,,,0
1773078674.417897,10,1.543977,0.425053,-137.0099,0.0,0.0,-0.930449,0.366421,1
1773078674.417897,7,,,,,,,,0
1773078674.555587,8,1.652260,0.254323,-44.4022,0.0,0.0,-0.377859,0.925863,1
1773078674.555587,9,,,,,,,,0
1773078674.555587,10,1.543964,0.424947,-137.0113,0.0,0.0,-0.930454,0.366410,1
1773078674.555587,7,,,,,,,,0
1773078674.656244,8,1.652287,0.254293,-44.6801,0.0,0.0,-0.380103,0.924944,1
1773078674.656244,9,,,,,,,,0
1773078674.656244,10,1.543969,0.424992,-137.0349,0.0,0.0,-0.930529,0.366218,1
1773078674.656244,7,,,,,,,,0
1773078674.769964,8,1.652271,0.254297,-44.4364,0.0,0.0,-0.378135,0.925750,1
1773078674.769964,9,,,,,,,,0
1773078674.769964,10,1.544040,0.424975,-137.0058,0.0,0.0,-0.930436,0.366454,1
1773078674.769964,7,,,,,,,,0
1773078674.908658,8,1.652272,0.254343,-44.5314,0.0,0.0,-0.378902,0.925437,1
1773078674.908658,9,,,,,,,,0
1773078674.908658,10,1.543955,0.424895,-136.9510,0.0,0.0,-0.930261,0.366899,1
1773078674.908658,7,,,,,,,,0
1773078675.015308,8,1.652307,0.254422,-44.4835,0.0,0.0,-0.378515,0.925595,1
1773078675.015308,9,,,,,,,,0
1773078675.015308,10,1.543977,0.424926,-136.9735,0.0,0.0,-0.930333,0.366716,1
1773078675.015308,7,,,,,,,,0
1773078675.162047,8,1.652238,0.254285,-44.4711,0.0,0.0,-0.378415,0.925636,1
1773078675.162047,9,,,,,,,,0
1773078675.162047,10,1.543970,0.424935,-137.0274,0.0,0.0,-0.930505,0.366279,1
1773078675.162047,7,,,,,,,,0
1773078675.276800,8,1.652253,0.254357,-44.4493,0.0,0.0,-0.378239,0.925708,1
1773078675.276800,9,,,,,,,,0
1773078675.276800,10,1.543999,0.424966,-137.0932,0.0,0.0,-0.930715,0.365745,1
1773078675.276800,7,,,,,,,,0
1773078675.375226,8,1.652304,0.254316,-44.4555,0.0,0.0,-0.378289,0.925688,1
1773078675.375226,9,,,,,,,,0
1773078675.375226,10,1.543961,0.424964,-136.9798,0.0,0.0,-0.930353,0.366666,1
1773078675.375226,7,,,,,,,,0
1773078675.481296,8,1.652335,0.254323,-44.6757,0.0,0.0,-0.380067,0.924959,1
1773078675.481296,9,,,,,,,,0
1773078675.481296,10,1.543961,0.424961,-137.0774,0.0,0.0,-0.930665,0.365873,1
1773078675.481296,7,,,,,,,,0
1773078675.588378,8,1.652300,0.254339,-44.6485,0.0,0.0,-0.379848,0.925049,1
1773078675.588378,9,,,,,,,,0
1773078675.588378,10,1.544015,0.424994,-137.0923,0.0,0.0,-0.930712,0.365752,1
1773078675.588378,7,,,,,,,,0
1773078675.684116,8,1.652276,0.254285,-44.6845,0.0,0.0,-0.380138,0.924930,1
1773078675.684116,9,,,,,,,,0
1773078675.684116,10,1.544083,0.424988,-137.0928,0.0,0.0,-0.930714,0.365748,1
1773078675.684116,7,,,,,,,,0
1773078675.849901,8,1.652223,0.254333,-44.5177,0.0,0.0,-0.378792,0.925482,1
1773078675.849901,9,,,,,,,,0
1773078675.849901,10,1.543978,0.424983,-136.8938,0.0,0.0,-0.930078,0.367363,1
1773078675.849901,7,,,,,,,,0
1773078675.963625,8,1.652296,0.254387,-44.5198,0.0,0.0,-0.378808,0.925475,1
1773078675.963625,9,,,,,,,,0
1773078675.963625,10,1.543908,0.424984,-137.0001,0.0,0.0,-0.930418,0.366500,1
1773078675.963625,7,,,,,,,,0
1773078676.061948,8,1.652252,0.254295,-44.5139,0.0,0.0,-0.378761,0.925494,1
1773078676.061948,9,,,,,,,,0
1773078676.061948,10,1.544008,0.424993,-137.0326,0.0,0.0,-0.930522,0.366237,1
1773078676.061948,7,,,,,,,,0
1773078676.172080,8,1.652198,0.254326,-44.4049,0.0,0.0,-0.377880,0.925854,1
1773078676.172080,9,,,,,,,,0
1773078676.172080,10,1.543931,0.424887,-137.0241,0.0,0.0,-0.930495,0.366305,1
1773078676.172080,7,,,,,,,,0
1773078676.275752,8,1.652327,0.254398,-44.4002,0.0,0.0,-0.377842,0.925870,1
1773078676.275752,9,,,,,,,,0
1773078676.275752,10,1.544042,0.424966,-136.9364,0.0,0.0,-0.930214,0.367017,1
1773078676.275752,7,,,,,,,,0
1773078676.375090,8,1.652291,0.254354,-44.4772,0.0,0.0,-0.378465,0.925616,1
1773078676.375090,9,,,,,,,,0
1773078676.375090,10,1.544013,0.424946,-137.0651,0.0,0.0,-0.930626,0.365972,1
1773078676.375090,7,,,,,,,,0
1773078676.467413,8,1.652204,0.254321,-44.3384,0.0,0.0,-0.377343,0.926074,1
1773078676.467413,9,,,,,,,,0
1773078676.467413,10,1.544070,0.424936,-136.9818,0.0,0.0,-0.930359,0.366649,1
1773078676.467413,7,,,,,,,,0
1773078676.568543,8,1.652261,0.254327,-44.4465,0.0,0.0,-0.378217,0.925717,1
1773078676.568543,9,,,,,,,,0
1773078676.568543,10,1.544003,0.424849,-137.2362,0.0,0.0,-0.931171,0.364583,1
1773078676.568543,7,,,,,,,,0
1773078676.676561,8,1.652283,0.254369,-44.5352,0.0,0.0,-0.378933,0.925424,1
1773078676.676561,9,,,,,,,,0
1773078676.676561,10,1.543995,0.425021,-136.9548,0.0,0.0,-0.930273,0.366868,1
1773078676.676561,7,,,,,,,,0
1773078676.781844,8,1.652324,0.254318,-44.4598,0.0,0.0,-0.378324,0.925673,1
1773078676.781844,9,,,,,,,,0
1773078676.781844,10,1.543943,0.424886,-137.1640,0.0,0.0,-0.930941,0.365170,1
1773078676.781844,7,,,,,,,,0
1773078676.883777,8,1.652287,0.254303,-44.5107,0.0,0.0,-0.378735,0.925505,1
1773078676.883777,9,,,,,,,,0
1773078676.883777,10,1.544019,0.424887,-137.0314,0.0,0.0,-0.930518,0.366246,1
1773078676.883777,7,,,,,,,,0
1773078676.971777,8,1.652273,0.254321,-44.4360,0.0,0.0,-0.378131,0.925752,1
1773078676.971777,9,,,,,,,,0
1773078676.971777,10,1.543923,0.424917,-137.0877,0.0,0.0,-0.930698,0.365789,1
1773078676.971777,7,,,,,,,,0
1773078677.065991,8,1.652217,0.254302,-44.5074,0.0,0.0,-0.378708,0.925516,1
1773078677.065991,9,,,,,,,,0
1773078677.065991,10,1.543998,0.424979,-136.9574,0.0,0.0,-0.930281,0.366847,1
1773078677.065991,7,,,,,,,,0
1773078677.164682,8,1.652277,0.254371,-44.4581,0.0,0.0,-0.378310,0.925679,1
1773078677.164682,9,,,,,,,,0
1773078677.164682,10,1.544007,0.424988,-136.9537,0.0,0.0,-0.930269,0.366877,1
1773078677.164682,7,,,,,,,,0
1773078677.247513,8,1.652229,0.254299,-44.5435,0.0,0.0,-0.379000,0.925397,1
1773078677.247513,9,,,,,,,,0
1773078677.247513,10,1.543990,0.424956,-136.9481,0.0,0.0,-0.930251,0.366923,1
1773078677.247513,7,,,,,,,,0
1773078677.353891,8,1.652269,0.254287,-44.5392,0.0,0.0,-0.378965,0.925411,1
1773078677.353891,9,,,,,,,,0
1773078677.353891,10,1.543990,0.424991,-136.9109,0.0,0.0,-0.930132,0.367225,1
1773078677.353891,7,,,,,,,,0
1773078677.450784,8,1.652276,0.254453,-44.5559,0.0,0.0,-0.379100,0.925356,1
1773078677.450784,9,,,,,,,,0
1773078677.450784,10,1.544019,0.424886,-137.1643,0.0,0.0,-0.930942,0.365167,1
1773078677.450784,7,,,,,,,,0
1773078677.558060,8,1.652247,0.254339,-44.2239,0.0,0.0,-0.376418,0.926450,1
1773078677.558060,9,,,,,,,,0
1773078677.558060,10,1.544024,0.424937,-137.1154,0.0,0.0,-0.930786,0.365564,1
1773078677.558060,7,,,,,,,,0
1773078677.653216,8,1.652307,0.254475,-44.3124,0.0,0.0,-0.377133,0.926159,1
1773078677.653216,9,,,,,,,,0
1773078677.653216,10,1.543995,0.424911,-137.0792,0.0,0.0,-0.930671,0.365858,1
1773078677.653216,7,,,,,,,,0
