timestamp,robot_id,x,y,angle,qx,qy,qz,qw,detected
1773077539.610581,8,1.705940,0.225437,-73.9626,0.0,0.0,-0.601554,0.798832,1
1773077539.610581,9,1.512632,0.089555,-85.2579,0.0,0.0,-0.677248,0.735755,1
1773077539.610581,10,1.544108,0.425972,-137.1338,0.0,0.0,-0.930845,0.365415,1
1773077539.610581,7,,,,,,,,0
1773077539.770616,8,1.706062,0.225358,-73.6442,0.0,0.0,-0.599332,0.800500,1
1773077539.770616,9,1.512666,0.089580,-85.1662,0.0,0.0,-0.676659,0.736297,1
1773077539.770616,10,1.544153,0.425940,-137.0601,0.0,0.0,-0.930610,0.366013,1
1773077539.770616,7,,,,,,,,0
1773077539.894664,8,1.706112,0.225431,-73.9121,0.0,0.0,-0.601202,0.799097,1
1773077539.894664,9,1.512623,0.089623,-85.3711,0.0,0.0,-0.677974,0.735086,1
1773077539.894664,10,1.544158,0.425896,-137.1381,0.0,0.0,-0.930859,0.365380,1
1773077539.894664,7,,,,,,,,0
1773077540.005885,8,1.706045,0.225473,-73.8150,0.0,0.0,-0.600525,0.799606,1
1773077540.005885,9,1.512632,0.089578,-85.3074,0.0,0.0,-0.677565,0.735463,1
1773077540.005885,10,1.544214,0.425949,-137.1154,0.0,0.0,-0.930786,0.365564,1
1773077540.005885,7,,,,,,,,0
1773077540.125185,8,1.706067,0.225414,-73.6583,0.0,0.0,-0.599431,0.800426,1
1773077540.125185,9,1.512647,0.089542,-85.3389,0.0,0.0,-0.677767,0.735276,1
1773077540.125185,10,1.544180,0.425895,-137.1409,0.0,0.0,-0.930868,0.365357,1
1773077540.125185,7,,,,,,,,0
1773077540.231282,8,1.706036,0.225382,-73.6084,0.0,0.0,-0.599083,0.800687,1
1773077540.231282,9,1.512647,0.089530,-85.3648,0.0,0.0,-0.677934,0.735123,1
1773077540.231282,10,1.544210,0.425992,-137.1842,0.0,0.0,-0.931006,0.365005,1
1773077540.231282,7,,,,,,,,0
1773077540.337636,8,1.706068,0.225451,-73.6056,0.0,0.0,-0.599063,0.800702,1
1773077540.337636,9,1.512654,0.089608,-85.2576,0.0,0.0,-0.677246,0.735757,1
1773077540.337636,10,1.544138,0.425896,-137.0563,0.0,0.0,-0.930598,0.366044,1
1773077540.337636,7,,,,,,,,0
1773077540.458292,8,1.706088,0.225468,-73.6830,0.0,0.0,-0.599603,0.800297,1
1773077540.458292,9,1.512609,0.089517,-85.4050,0.0,0.0,-0.678192,0.734885,1
1773077540.458292,10,1.544141,0.425915,-137.1426,0.0,0.0,-0.930873,0.365343,1
1773077540.458292,7,,,,,,,,0
1773077540.587025,8,1.705963,0.225391,-73.7303,0.0,0.0,-0.599934,0.800050,1
1773077540.587025,9,1.512615,0.089533,-85.2908,0.0,0.0,-0.677459,0.735560,1
1773077540.587025,10,1.544123,0.425912,-137.1631,0.0,0.0,-0.930938,0.365177,1
1773077540.587025,7,,,,,,,,0
1773077540.690578,8,1.706038,0.225420,-73.7150,0.0,0.0,-0.599827,0.800130,1
1773077540.690578,9,1.512612,0.089559,-85.2512,0.0,0.0,-0.677205,0.735794,1
1773077540.690578,10,1.544144,0.425848,-137.1394,0.0,0.0,-0.930863,0.365369,1
1773077540.690578,7,,,,,,,,0
1773077540.779052,8,1.706053,0.225415,-73.6743,0.0,0.0,-0.599542,0.800343,1
1773077540.779052,9,1.512619,0.089530,-85.3418,0.0,0.0,-0.677786,0.735259,1
1773077540.779052,10,1.544155,0.425892,-136.9185,0.0,0.0,-0.930157,0.367163,1
1773077540.779052,7,,,,,,,,0
1773077540.868288,8,1.706060,0.225238,-73.8027,0.0,0.0,-0.600439,0.799671,1
1773077540.868288,9,1.512610,0.089400,-85.3419,0.0,0.0,-0.677787,0.735258,1
1773077540.868288,10,1.544162,0.425784,-136.9647,0.0,0.0,-0.930305,0.366787,1
1773077540.868288,7,,,,,,,,0
1773077540.981625,8,,,,,,,,0
1773077540.981625,9,,,,,,,,0
1773077540.981625,10,,,,,,,,0
1773077540.981625,7,,,,,,,,0
1773077541.154284,8,1.705483,0.223211,-73.7282,0.0,0.0,-0.599919,0.800061,1
1773077541.154284,9,1.511916,0.087511,-85.3161,0.0,0.0,-0.677622,0.735411,1
1773077541.154284,10,1.543644,0.424051,-137.2410,0.0,0.0,-0.931186,0.364544,1
1773077541.154284,7,,,,,,,,0
1773077541.291339,8,1.705398,0.223301,-73.5712,0.0,0.0,-0.598822,0.800882,1
1773077541.291339,9,1.511953,0.087500,-85.4365,0.0,0.0,-0.678394,0.734698,1
1773077541.291339,10,1.543635,0.423981,-137.3024,0.0,0.0,-0.931381,0.364045,1
1773077541.291339,7,,,,,,,,0
1773077541.401672,8,1.705424,0.223348,-73.7171,0.0,0.0,-0.599842,0.800119,1
1773077541.401672,9,1.511936,0.087453,-85.5094,0.0,0.0,-0.678861,0.734267,1
1773077541.401672,10,1.543654,0.424077,-137.1902,0.0,0.0,-0.931025,0.364957,1
1773077541.401672,7,,,,,,,,0
1773077541.508118,8,1.705453,0.223456,-73.6579,0.0,0.0,-0.599428,0.800429,1
1773077541.508118,9,1.511936,0.087436,-85.4736,0.0,0.0,-0.678631,0.734479,1
1773077541.508118,10,1.543603,0.423957,-137.2829,0.0,0.0,-0.931319,0.364203,1
1773077541.508118,7,,,,,,,,0
1773077541.605823,8,1.705516,0.223265,-73.7487,0.0,0.0,-0.600062,0.799953,1
1773077541.605823,9,1.511942,0.087466,-85.5519,0.0,0.0,-0.679134,0.734015,1
1773077541.605823,10,1.543576,0.423998,-137.1178,0.0,0.0,-0.930794,0.365545,1
1773077541.605823,7,,,,,,,,0
1773077541.705642,8,1.705509,0.223290,-73.7613,0.0,0.0,-0.600150,0.799888,1
1773077541.705642,9,1.511955,0.087486,-85.5746,0.0,0.0,-0.679279,0.733881,1
1773077541.705642,10,1.543661,0.424130,-137.0709,0.0,0.0,-0.930644,0.365926,1
1773077541.705642,7,,,,,,,,0
1773077541.804059,8,1.705418,0.223311,-73.9036,0.0,0.0,-0.601143,0.799141,1
1773077541.804059,9,1.511936,0.087478,-85.3049,0.0,0.0,-0.677550,0.735477,1
1773077541.804059,10,1.543673,0.424077,-137.0736,0.0,0.0,-0.930653,0.365904,1
1773077541.804059,7,,,,,,,,0
1773077541.890472,8,1.705429,0.223331,-73.8892,0.0,0.0,-0.601043,0.799217,1
1773077541.890472,9,1.511968,0.087494,-85.5622,0.0,0.0,-0.679199,0.733954,1
1773077541.890472,10,1.543712,0.423926,-137.2248,0.0,0.0,-0.931135,0.364676,1
1773077541.890472,7,,,,,,,,0
1773077541.974778,8,1.705364,0.223266,-73.9731,0.0,0.0,-0.601628,0.798777,1
1773077541.974778,9,1.511939,0.087480,-85.4109,0.0,0.0,-0.678230,0.734850,1
1773077541.974778,10,1.543655,0.424078,-137.1540,0.0,0.0,-0.930909,0.365251,1
1773077541.974778,7,,,,,,,,0
