timestamp,robot_id,x,y,angle,qx,qy,qz,qw,detected
1773078749.317407,8,1.203946,0.349928,-57.8581,0.0,0.0,-0.483726,0.875219,1
1773078749.317407,9,1.210587,0.065160,-88.0449,0.0,0.0,-0.694940,0.719068,1
1773078749.317407,10,0.685063,0.045468,-45.3532,0.0,0.0,-0.385529,0.922696,1
1773078749.317407,7,,,,,,,,0
1773078749.481127,8,1.203910,0.349961,-57.8400,0.0,0.0,-0.483588,0.875296,1
1773078749.481127,9,1.210536,0.065182,-88.1315,0.0,0.0,-0.695484,0.718542,1
1773078749.481127,10,0.685059,0.045498,-45.3565,0.0,0.0,-0.385556,0.922684,1
1773078749.481127,7,,,,,,,,0
1773078749.626395,8,1.203953,0.349915,-57.8794,0.0,0.0,-0.483889,0.875129,1
1773078749.626395,9,1.210528,0.065217,-88.1540,0.0,0.0,-0.695624,0.718406,1
1773078749.626395,10,0.685042,0.045478,-45.2864,0.0,0.0,-0.384991,0.922920,1
1773078749.626395,7,,,,,,,,0
1773078749.773764,8,1.203961,0.349933,-57.7966,0.0,0.0,-0.483256,0.875479,1
1773078749.773764,9,1.210538,0.065177,-88.0044,0.0,0.0,-0.694686,0.719313,1
1773078749.773764,10,0.685079,0.045494,-45.2816,0.0,0.0,-0.384952,0.922936,1
1773078749.773764,7,,,,,,,,0
1773078749.895825,8,1.203939,0.349904,-57.9111,0.0,0.0,-0.484131,0.874996,1
1773078749.895825,9,1.210555,0.065142,-88.1058,0.0,0.0,-0.695322,0.718698,1
1773078749.895825,10,0.685081,0.045463,-45.2328,0.0,0.0,-0.384560,0.923100,1
1773078749.895825,7,,,,,,,,0
1773078750.046402,8,1.203961,0.349892,-57.7399,0.0,0.0,-0.482823,0.875718,1
1773078750.046402,9,1.210550,0.065159,-88.0889,0.0,0.0,-0.695216,0.718801,1
1773078750.046402,10,0.685061,0.045471,-45.3526,0.0,0.0,-0.385524,0.922698,1
1773078750.046402,7,,,,,,,,0
1773078750.217250,8,1.203942,0.349930,-57.8580,0.0,0.0,-0.483725,0.875220,1
1773078750.217250,9,1.210512,0.065144,-88.2222,0.0,0.0,-0.696052,0.717991,1
1773078750.217250,10,0.685063,0.045505,-45.2905,0.0,0.0,-0.385025,0.922906,1
1773078750.217250,7,,,,,,,,0
1773078750.377382,8,1.203975,0.349999,-57.8990,0.0,0.0,-0.484039,0.875047,1
1773078750.377382,9,1.210592,0.065198,-88.1220,0.0,0.0,-0.695424,0.718600,1
1773078750.377382,10,0.685030,0.045484,-45.3317,0.0,0.0,-0.385356,0.922768,1
1773078750.377382,7,,,,,,,,0
1773078750.522955,8,1.203880,0.349862,-57.8093,0.0,0.0,-0.483353,0.875425,1
1773078750.522955,9,1.210528,0.065165,-88.1086,0.0,0.0,-0.695340,0.718681,1
1773078750.522955,10,0.685041,0.045458,-45.2526,0.0,0.0,-0.384719,0.923034,1
1773078750.522955,7,,,,,,,,0
1773078750.647122,8,1.203958,0.349925,-57.7561,0.0,0.0,-0.482947,0.875650,1
1773078750.647122,9,1.210557,0.065217,-88.1391,0.0,0.0,-0.695531,0.718496,1
1773078750.647122,10,0.685034,0.045458,-45.3063,0.0,0.0,-0.385152,0.922853,1
1773078750.647122,7,,,,,,,,0
1773078750.760269,8,1.203972,0.349881,-57.8369,0.0,0.0,-0.483564,0.875309,1
1773078750.760269,9,1.210593,0.065153,-88.1271,0.0,0.0,-0.695456,0.718569,1
1773078750.760269,10,0.685053,0.045474,-45.3293,0.0,0.0,-0.385336,0.922776,1
1773078750.760269,7,,,,,,,,0
1773078750.856939,8,,,,,,,,0
1773078750.856939,9,1.206897,0.060668,-88.1051,0.0,0.0,-0.695318,0.718703,1
1773078750.856939,10,0.680818,0.041859,-45.6781,0.0,0.0,-0.388144,0.921599,1
1773078750.856939,7,,,,,,,,0
1773078750.956610,8,1.203001,0.348249,-58.0737,0.0,0.0,-0.485372,0.874308,1
1773078750.956610,9,1.209537,0.063313,-88.0307,0.0,0.0,-0.694851,0.719154,1
1773078750.956610,10,0.683929,0.043719,-45.3254,0.0,0.0,-0.385306,0.922789,1
1773078750.956610,7,,,,,,,,0
1773078751.054902,8,1.203021,0.348292,-57.9923,0.0,0.0,-0.484751,0.874652,1
1773078751.054902,9,1.209493,0.063354,-87.8851,0.0,0.0,-0.693937,0.720036,1
1773078751.054902,10,0.683914,0.043700,-45.2038,0.0,0.0,-0.384326,0.923197,1
1773078751.054902,7,,,,,,,,0
1773078751.160088,8,1.203020,0.348298,-57.9717,0.0,0.0,-0.484594,0.874739,1
1773078751.160088,9,1.209553,0.063339,-87.9297,0.0,0.0,-0.694217,0.719766,1
1773078751.160088,10,0.683868,0.043752,-45.3016,0.0,0.0,-0.385114,0.922869,1
1773078751.160088,7,,,,,,,,0
1773078751.285088,8,1.203057,0.348233,-58.1283,0.0,0.0,-0.485789,0.874076,1
1773078751.285088,9,1.209499,0.063376,-87.9284,0.0,0.0,-0.694209,0.719774,1
1773078751.285088,10,0.683939,0.043723,-45.2701,0.0,0.0,-0.384860,0.922975,1
1773078751.285088,7,,,,,,,,0
1773078751.404755,8,1.202981,0.348254,-57.9232,0.0,0.0,-0.484223,0.874945,1
1773078751.404755,9,1.209519,0.063378,-87.9729,0.0,0.0,-0.694488,0.719504,1
1773078751.404755,10,0.683959,0.043729,-45.2771,0.0,0.0,-0.384916,0.922951,1
1773078751.404755,7,,,,,,,,0
1773078751.495116,8,1.203005,0.348255,-57.9326,0.0,0.0,-0.484295,0.874905,1
1773078751.495116,9,1.209486,0.063336,-87.9929,0.0,0.0,-0.694614,0.719383,1
1773078751.495116,10,0.683950,0.043750,-45.3409,0.0,0.0,-0.385430,0.922737,1
1773078751.495116,7,,,,,,,,0
1773078751.581265,8,1.202947,0.348241,-58.0766,0.0,0.0,-0.485394,0.874295,1
1773078751.581265,9,1.209571,0.063339,-87.9855,0.0,0.0,-0.694567,0.719428,1
1773078751.581265,10,0.683920,0.043720,-45.2737,0.0,0.0,-0.384889,0.922963,1
1773078751.581265,7,,,,,,,,0
1773078751.662951,8,1.202947,0.348261,-57.9691,0.0,0.0,-0.484574,0.874750,1
1773078751.662951,9,1.209508,0.063345,-88.0837,0.0,0.0,-0.695184,0.718832,1
1773078751.662951,10,0.683941,0.043713,-45.2450,0.0,0.0,-0.384658,0.923059,1
1773078751.662951,7,,,,,,,,0
1773078751.747417,8,1.203012,0.348321,-57.9233,0.0,0.0,-0.484224,0.874944,1
1773078751.747417,9,1.209548,0.063374,-88.1149,0.0,0.0,-0.695379,0.718643,1
1773078751.747417,10,0.683913,0.043713,-45.3533,0.0,0.0,-0.385530,0.922695,1
1773078751.747417,7,,,,,,,,0
1773078751.841754,8,1.202985,0.348261,-57.8938,0.0,0.0,-0.483999,0.875069,1
1773078751.841754,9,1.209533,0.063361,-88.0197,0.0,0.0,-0.694782,0.719220,1
1773078751.841754,10,0.683937,0.043697,-45.2934,0.0,0.0,-0.385048,0.922897,1
1773078751.841754,7,,,,,,,,0
1773078751.942437,8,1.202967,0.348328,-57.9667,0.0,0.0,-0.484555,0.874761,1
1773078751.942437,9,1.209477,0.063369,-87.9710,0.0,0.0,-0.694477,0.719515,1
1773078751.942437,10,0.683922,0.043749,-45.2662,0.0,0.0,-0.384829,0.922988,1
1773078751.942437,7,,,,,,,,0
1773078752.027619,8,1.202972,0.348259,-58.0832,0.0,0.0,-0.485445,0.874267,1
1773078752.027619,9,1.209553,0.063340,-88.0454,0.0,0.0,-0.694943,0.719065,1
1773078752.027619,10,0.683984,0.043697,-45.4184,0.0,0.0,-0.386054,0.922476,1
1773078752.027619,7,,,,,,,,0
1773078752.128481,8,1.202977,0.348227,-57.9405,0.0,0.0,-0.484356,0.874871,1
1773078752.128481,9,1.209566,0.063342,-88.0045,0.0,0.0,-0.694686,0.719313,1
1773078752.128481,10,0.683971,0.043692,-45.4001,0.0,0.0,-0.385907,0.922538,1
1773078752.128481,7,,,,,,,,0
1773078752.220903,8,1.203003,0.348273,-57.8233,0.0,0.0,-0.483460,0.875366,1
1773078752.220903,9,1.209580,0.063332,-88.1392,0.0,0.0,-0.695531,0.718496,1
1773078752.220903,10,0.683929,0.043749,-45.2513,0.0,0.0,-0.384708,0.923038,1
1773078752.220903,7,,,,,,,,0
1773078752.312757,8,1.202989,0.348287,-57.8923,0.0,0.0,-0.483987,0.875075,1
1773078752.312757,9,1.209560,0.063373,-88.0318,0.0,0.0,-0.694858,0.719147,1
1773078752.312757,10,0.683968,0.043728,-45.1910,0.0,0.0,-0.384223,0.923240,1
1773078752.312757,7,,,,,,,,0
1773078752.401496,8,1.202924,0.348286,-57.9885,0.0,0.0,-0.484722,0.874669,1
1773078752.401496,9,1.209503,0.063370,-88.0049,0.0,0.0,-0.694689,0.719310,1
1773078752.401496,10,0.683968,0.043705,-45.3788,0.0,0.0,-0.385736,0.922609,1
1773078752.401496,7,,,,,,,,0
1773078752.486464,8,1.203017,0.348253,-58.0121,0.0,0.0,-0.484902,0.874569,1
