timestamp,robot_id,x,y,angle,qx,qy,qz,qw,detected
1773078684.070791,8,1.653028,0.255972,-44.4596,0.0,0.0,-0.378323,0.925674,1
1773078684.070791,9,1.210617,0.065206,-88.1905,0.0,0.0,-0.695853,0.718184,1
1773078684.070791,10,1.544684,0.426588,-137.2048,0.0,0.0,-0.931071,0.364838,1
1773078684.070791,7,,,,,,,,0
1773078684.254216,8,1.652950,0.255941,-44.5389,0.0,0.0,-0.378963,0.925412,1
1773078684.254216,9,1.210616,0.065199,-88.1402,0.0,0.0,-0.695538,0.718489,1
1773078684.254216,10,1.544714,0.426561,-137.1871,0.0,0.0,-0.931015,0.364981,1
1773078684.254216,7,,,,,,,,0
1773078684.427215,8,1.653044,0.255928,-44.4147,0.0,0.0,-0.377959,0.925822,1
1773078684.427215,9,1.210595,0.065196,-88.0770,0.0,0.0,-0.695142,0.718873,1
1773078684.427215,10,1.544650,0.426461,-137.0500,0.0,0.0,-0.930577,0.366095,1
1773078684.427215,7,,,,,,,,0
1773078684.583363,8,1.653076,0.255965,-44.4523,0.0,0.0,-0.378264,0.925698,1
1773078684.583363,9,1.210552,0.065191,-88.0706,0.0,0.0,-0.695102,0.718911,1
1773078684.583363,10,1.544640,0.426507,-137.1585,0.0,0.0,-0.930924,0.365214,1
1773078684.583363,7,,,,,,,,0
1773078684.697926,8,1.653075,0.255958,-44.4935,0.0,0.0,-0.378596,0.925562,1
1773078684.697926,9,1.210580,0.065218,-88.0676,0.0,0.0,-0.695083,0.718930,1
1773078684.697926,10,1.544672,0.426542,-137.0351,0.0,0.0,-0.930530,0.366216,1
1773078684.697926,7,,,,,,,,0
1773078684.804593,8,1.653049,0.255945,-44.3364,0.0,0.0,-0.377327,0.926080,1
1773078684.804593,9,1.210595,0.065146,-88.0821,0.0,0.0,-0.695173,0.718842,1
1773078684.804593,10,1.544688,0.426521,-137.0138,0.0,0.0,-0.930462,0.366389,1
1773078684.804593,7,,,,,,,,0
1773078684.925852,8,1.653025,0.256001,-44.3767,0.0,0.0,-0.377652,0.925947,1
1773078684.925852,9,1.210667,0.065220,-88.1601,0.0,0.0,-0.695663,0.718368,1
1773078684.925852,10,1.544678,0.426536,-137.1178,0.0,0.0,-0.930794,0.365544,1
1773078684.925852,7,,,,,,,,0
