x,y,theta
-1.152531,2.097604,-1.713900
-1.151823,2.101107,-1.719453
-1.151066,2.106491,-1.730643
-1.150081,2.113957,-1.743744
-1.148471,2.123622,-1.764299
-1.146540,2.135352,-1.787451
-1.144228,2.149061,-1.813150
-1.141028,2.164454,-1.845087
-1.137025,2.181638,-1.874050
-1.131740,2.200171,-1.900966
-1.125438,2.219774,-1.922210
-1.118346,2.240355,-1.938502
-1.110666,2.261030,-1.949851
-1.102448,2.282578,-1.955815
-1.093549,2.305783,-1.968884
-1.086856,2.323192,-1.986657
-1.081551,2.337572,-2.012262
-1.076955,2.351836,-2.039223
-1.073028,2.361968,-2.044346
-1.071178,2.370797,-2.075355
-1.071178,2.370797,-2.075355
-1.068678,2.381071,-2.100272
-1.068904,2.383311,-2.114504
-1.069813,2.383440,-2.133237
-1.071775,2.381632,-2.154440
-1.074636,2.378477,-2.175834
-1.078413,2.373748,-2.194540
-1.083176,2.367364,-2.212857
-1.089097,2.359462,-2.231994
-1.096160,2.350137,-2.253026
-1.104300,2.339435,-2.268742
-1.113807,2.327569,-2.283018
-1.124657,2.314802,-2.294358
-1.136994,2.300570,-2.308938
-1.150034,2.285250,-2.315751
-1.164062,2.269218,-2.317605
-1.173271,2.258556,-2.295898
-1.180823,2.249943,-2.280540
-1.188607,2.240314,-2.276508
-1.193185,2.235045,-2.267119
-1.197237,2.230645,-2.267541
-1.198343,2.228940,-2.275330
-1.199283,2.228050,-2.275034
-1.198366,2.229188,-2.277787
-1.196216,2.231620,-2.281260
-1.192682,2.235742,-2.289813
-1.187956,2.241422,-2.304505
-1.181663,2.248752,-2.314229
-1.174152,2.257096,-2.330629
-1.164983,2.267100,-2.347270
-1.154246,2.278442,-2.359443
-1.141729,2.290908,-2.374495
-1.127985,2.304512,-2.390830
-1.113272,2.318431,-2.402882
-1.097340,2.333488,-2.413663
-1.080776,2.348583,-2.423770
-1.062996,2.364182,-2.425895
-1.050140,2.375531,-2.423452
-1.038257,2.386216,-2.425053
-1.028312,2.395615,-2.430920
-1.020038,2.402802,-2.432740
-1.013844,2.408495,-2.429659
-1.009254,2.412750,-2.427387
-1.006440,2.415354,-2.425646
-1.005291,2.416482,-2.428002
-1.005752,2.416171,-2.432005
-1.007613,2.414773,-2.439513
-1.010771,2.412089,-2.445079
-1.015576,2.408130,-2.449058
-1.021624,2.403162,-2.450885
-1.029039,2.396944,-2.450458
-1.037703,2.389522,-2.453199
-1.047917,2.380931,-2.455645
-1.059283,2.371472,-2.454928
-1.072421,2.360600,-2.454260
-1.072421,2.360600,-2.454260
-1.100800,2.336648,-2.441502
-1.116315,2.322752,-2.433048
-1.132100,2.308688,-2.428370
-1.149117,2.293432,-2.421745
-1.162731,2.280938,-2.397636
-1.172819,2.272113,-2.362334
-1.181666,2.263579,-2.350723
-1.190422,2.255723,-2.342745
-1.195693,2.251518,-2.333773
-1.200250,2.248067,-2.339005
-1.201582,2.246974,-2.349015
-1.201582,2.246974,-2.349015
-1.201380,2.247669,-2.357007
-1.198907,2.250245,-2.358318
-1.194721,2.254304,-2.365998
-1.189360,2.259638,-2.372745
-1.182375,2.266587,-2.381538
-1.173746,2.275054,-2.393702
-1.163575,2.284719,-2.411213
-1.151862,2.295526,-2.428284
-1.138361,2.307509,-2.450346
-1.123535,2.320050,-2.470558
-1.107528,2.333366,-2.489280
-1.090436,2.346578,-2.502270
-1.072917,2.359878,-2.506948
-1.054211,2.373588,-2.506494
-1.041564,2.382949,-2.502070
-1.029452,2.392404,-2.507326
-1.019151,2.399816,-2.503582
-1.011220,2.406079,-2.509342
-1.005486,2.410799,-2.517276
-1.001501,2.414154,-2.524696
-0.999255,2.415977,-2.531240
-0.998958,2.416583,-2.538774
-1.000254,2.415993,-2.545349
-1.002904,2.414706,-2.556983
-1.002904,2.414706,-2.556983
-1.013315,2.408531,-2.573629
-1.020382,2.403758,-2.568565
-1.029197,2.397936,-2.567315
-1.039391,2.391275,-2.568824
-1.051090,2.383581,-2.569473
-1.064552,2.374861,-2.566945
-1.079419,2.365386,-2.566725
-1.095175,2.354634,-2.562379
-1.111857,2.343418,-2.567380
-1.128319,2.332677,-2.580295
-1.138340,2.326082,-2.582465
-1.147681,2.319558,-2.614606
-1.156214,2.314521,-2.645142
-1.161437,2.311397,-2.659042
-1.165155,2.308148,-2.698913
-1.165889,2.306780,-2.720486
-1.165510,2.306530,-2.732923
-1.163199,2.307110,-2.749041
-1.158797,2.308550,-2.762630
-1.152509,2.310906,-2.775721
-1.144212,2.314078,-2.787261
-1.133705,2.318355,-2.796935
-1.121578,2.323189,-2.811870
-1.107345,2.328394,-2.826431
-1.091513,2.333867,-2.846764
-1.073882,2.339569,-2.861469
-1.055503,2.345170,-2.879762
-1.035892,2.350951,-2.891594
-1.014699,2.356833,-2.899561
-0.992712,2.362667,-2.907660
-0.969717,2.368711,-2.911610
-0.955207,2.372476,-2.913729
-0.940850,2.376200,-2.913600
-0.928424,2.379694,-2.926699
-0.918517,2.382420,-2.942503
-0.912089,2.385017,-2.958246
-0.906418,2.386745,-2.970573
-0.903626,2.387829,-2.980989
-0.902544,2.388661,-2.996661
-0.903976,2.388958,-3.012979
-0.907242,2.388907,-3.034923
-0.912120,2.388943,-3.053420
-0.918429,2.388661,-3.068534
-0.926861,2.388016,-3.082663
-0.936989,2.387370,-3.097657
-0.949249,2.386741,-3.118781
-0.949249,2.386741,-3.118781
-0.987556,2.386016,3.117335
-0.987556,2.386016,3.117335
-1.022528,2.386297,3.079249
-1.022528,2.386297,3.079249
-1.036600,2.386506,3.054966
