x,y,theta
-0.000906,0.066316,-1.644077
0.000096,0.081955,-1.645988
0.001405,0.099364,-1.652070
0.002921,0.118303,-1.656910
0.004473,0.138804,-1.667521
0.005707,0.153802,-1.675079
0.006369,0.166106,-1.685446
0.007365,0.177577,-1.698277
0.008066,0.186364,-1.708889
0.007827,0.193001,-1.731175
0.007696,0.197966,-1.747104
0.007412,0.200981,-1.760131
0.007019,0.201947,-1.772297
0.006321,0.201233,-1.784156
0.005362,0.198804,-1.790584
0.003922,0.195094,-1.800748
0.002159,0.189935,-1.813207
0.000146,0.183109,-1.821523
-0.002016,0.174899,-1.832930
-0.004660,0.165200,-1.844828
-0.004660,0.165200,-1.844828
-0.011489,0.141544,-1.873265
-0.015664,0.127820,-1.887567
-0.020439,0.112500,-1.907488
-0.026093,0.095718,-1.925254
-0.032312,0.078340,-1.936734
-0.039387,0.059714,-1.953903
-0.046568,0.041191,-1.980825
-0.050602,0.030484,-2.007131
-0.054814,0.019199,-2.032295
-0.059370,0.007780,-2.055110
-0.061971,0.001651,-2.073491
-0.063051,-0.004251,-2.114745
-0.064034,-0.007997,-2.147985
-0.063966,-0.009797,-2.181681
-0.062909,-0.009888,-2.211794
-0.060825,-0.008474,-2.247255
-0.057834,-0.005572,-2.287092
-0.053778,-0.001237,-2.324809
-0.048701,0.004412,-2.368155
-0.042545,0.011169,-2.415333
-0.034796,0.019372,-2.462051
-0.025691,0.027823,-2.512335
-0.015137,0.037087,-2.565897
-0.003151,0.046564,-2.613909
0.010556,0.056435,-2.662842
0.025552,0.065842,-2.702425
0.042288,0.074784,-2.733887
0.042288,0.074784,-2.733887
0.079306,0.091554,-2.762429
0.099413,0.099687,-2.765251
0.099413,0.099687,-2.765251
0.141913,0.116803,-2.765772
0.161460,0.124793,-2.764709
0.176211,0.130513,-2.764091
0.190816,0.136576,-2.767224
0.203018,0.141260,-2.765039
0.212349,0.145883,-2.775301
0.220901,0.149593,-2.784230
0.227301,0.152407,-2.795020
0.232011,0.154594,-2.803878
0.234794,0.156054,-2.813763
0.235699,0.157007,-2.824282
0.234465,0.157124,-2.838218
0.232050,0.156809,-2.850780
0.228426,0.156216,-2.863362
0.223151,0.154872,-2.873111
0.216464,0.153190,-2.883419
0.208197,0.151256,-2.896982
0.197936,0.148795,-2.913816
0.186899,0.146251,-2.927971
0.174361,0.143529,-2.936810
0.160297,0.140387,-2.926873
0.145345,0.136664,-2.874337
0.130880,0.131851,-2.751709
0.117721,0.125006,-2.567534
0.106190,0.117219,-2.353679
0.095432,0.108248,-2.157159
0.084698,0.097556,-1.982999
0.075412,0.085849,-1.835272
0.067135,0.073196,-1.746482
0.060002,0.059907,-1.689470
0.054539,0.053769,-1.625424
0.049256,0.048289,-1.568305
0.044528,0.043493,-1.513972
0.040416,0.041889,-1.454907
0.036386,0.042779,-1.397593
0.033426,0.044518,-1.356044
0.030429,0.048738,-1.319719
0.027377,0.054356,-1.288839
0.023890,0.061608,-1.265525
0.020101,0.070572,-1.246542
0.016103,0.080986,-1.231446
0.011610,0.093140,-1.223301
0.006380,0.106886,-1.222150
0.000706,0.122085,-1.222964
-0.003878,0.134858,-1.221603
-0.006906,0.142885,-1.226408
-0.009669,0.150873,-1.230208
-0.011167,0.156455,-1.229391
-0.012831,0.158917,-1.241147
-0.013593,0.160619,-1.246504
-0.013591,0.160215,-1.251024
-0.012988,0.158286,-1.255154
-0.011871,0.154946,-1.258522
-0.010338,0.150102,-1.261432
-0.008394,0.143725,-1.262068
-0.006074,0.135920,-1.265933
-0.003053,0.126761,-1.265756
0.000444,0.116060,-1.266025
0.004333,0.104094,-1.265366
0.008673,0.090613,-1.264363
0.013149,0.076396,-1.264921
0.017889,0.061482,-1.268623
0.020846,0.051844,-1.271421
0.022796,0.045222,-1.277910
0.025260,0.037168,-1.275375
0.026483,0.034238,-1.277705
0.026930,0.032107,-1.272144
0.026992,0.032413,-1.266349
0.026342,0.034082,-1.260868
0.025099,0.037271,-1.254577
0.023420,0.042208,-1.245907
0.021277,0.048790,-1.238229
0.018568,0.056914,-1.229474
0.015199,0.066668,-1.222788
0.011155,0.077866,-1.216500
0.006378,0.090781,-1.207293
0.000996,0.104996,-1.199363
-0.004874,0.119850,-1.192447
-0.011122,0.135962,-1.191876
-0.015002,0.145809,-1.187052
-0.018274,0.154819,-1.182187
-0.021134,0.162065,-1.180144
-0.023112,0.167199,-1.177365
-0.024056,0.170269,-1.174480
-0.024418,0.171810,-1.170972
-0.024119,0.171523,-1.168949
-0.023200,0.169770,-1.162520
-0.021815,0.166733,-1.162093
-0.019925,0.162127,-1.163002
-0.017203,0.156121,-1.161338
-0.013946,0.148947,-1.163303
-0.010187,0.140069,-1.166056
-0.005712,0.129866,-1.172097
-0.000902,0.118450,-1.178647
0.004593,0.105324,-1.185757
0.010844,0.091127,-1.192713
0.017047,0.075866,-1.194708
0.023508,0.059695,-1.197043
0.027795,0.048814,-1.201503
0.030953,0.040930,-1.205511
0.034812,0.031363,-1.205356
0.036681,0.026926,-1.204338
0.038145,0.023111,-1.200120
0.038953,0.021627,-1.196217
0.038732,0.022068,-1.191297
0.037943,0.024085,-1.189033
0.036475,0.027768,-1.186964
0.034238,0.033027,-1.182841
0.031475,0.039682,-1.181418
0.028029,0.047972,-1.174780
0.024128,0.057779,-1.165095
0.019506,0.068984,-1.161781
0.014122,0.081702,-1.155777
0.007939,0.095654,-1.152030
0.000712,0.111166,-1.151991
-0.006947,0.127717,-1.150013
-0.012897,0.141404,-1.148291
-0.017444,0.151456,-1.148792
-0.021582,0.161016,-1.145223
-0.024701,0.168216,-1.145905
-0.026860,0.172969,-1.147563
-0.028384,0.176574,-1.149161
-0.029124,0.178281,-1.151510
-0.029049,0.178215,-1.153509
-0.028425,0.176619,-1.154510
-0.027327,0.173647,-1.157108
-0.025330,0.169227,-1.155415
-0.022884,0.163843,-1.157893
-0.019793,0.156760,-1.161132
-0.016210,0.148212,-1.164331
-0.012214,0.138484,-1.171306
-0.007405,0.127184,-1.174787
-0.001996,0.114795,-1.182348
0.003883,0.100929,-1.192517
0.010234,0.085700,-1.202499
0.016464,0.069579,-1.211809
0.022917,0.052752,-1.216751
0.026640,0.042773,-1.222124
0.030131,0.033680,-1.227722
0.033830,0.024419,-1.231667
0.035901,0.019899,-1.237723
0.037376,0.015935,-1.237415
0.038200,0.014055,-1.237889
0.038106,0.014303,-1.234054
0.037462,0.016235,-1.226904
0.036324,0.019677,-1.224070
0.034661,0.024712,-1.217728
0.032293,0.031408,-1.212057
0.029286,0.039571,-1.205129
0.025635,0.049100,-1.197822
0.021418,0.060404,-1.183402
0.016651,0.073013,-1.171064
0.011174,0.086898,-1.163233
0.004593,0.102362,-1.156204
-0.002759,0.118823,-1.155877
-0.010956,0.136953,-1.155866
-0.017000,0.151351,-1.156449
-0.021903,0.162370,-1.160090
-0.026735,0.172974,-1.167319
-0.029897,0.181207,-1.166404
-0.032872,0.186309,-1.178927
-0.032872,0.186309,-1.178927
-0.036320,0.193226,-1.188597
-0.037007,0.194162,-1.192074
-0.037153,0.193417,-1.197521
-0.036514,0.191146,-1.201451
-0.035333,0.187596,-1.207728
-0.033606,0.182755,-1.216324
-0.031395,0.176244,-1.222208
-0.028960,0.168642,-1.229624
-0.025762,0.159436,-1.232256
-0.021983,0.148545,-1.238166
-0.017928,0.136827,-1.243855
-0.013246,0.123031,-1.253830
-0.008370,0.108313,-1.262574
-0.003188,0.092044,-1.272360
0.002622,0.074328,-1.282925
0.008304,0.055351,-1.291007
0.012966,0.039951,-1.299043
0.016305,0.029028,-1.307170
0.019827,0.017581,-1.314601
0.022635,0.008731,-1.323200
0.024548,0.002311,-1.331081
0.026016,-0.001734,-1.337035
0.027125,-0.004553,-1.340191
0.027518,-0.004710,-1.343501
0.027509,-0.003448,-1.346812
0.026993,-0.000585,-1.347448
0.026029,0.003810,-1.343963
0.024721,0.010029,-1.340355
0.023066,0.017954,-1.336352
0.020922,0.027273,-1.332208
0.018433,0.038309,-1.328924
0.015514,0.050640,-1.325588
0.012154,0.064430,-1.317813
0.008237,0.080049,-1.310265
0.003972,0.096933,-1.300388
-0.000967,0.115184,-1.296531
-0.006572,0.134562,-1.293140
-0.011061,0.150852,-1.292630
-0.014538,0.162980,-1.288245
-0.017835,0.174896,-1.287166
-0.020292,0.183977,-1.288601
-0.022387,0.190874,-1.298049
-0.023985,0.196366,-1.301075
-0.025081,0.199914,-1.307382
-0.025813,0.201507,-1.316167
-0.025758,0.201539,-1.320490
-0.025523,0.199918,-1.326445
-0.024714,0.196743,-1.335742
-0.023802,0.192078,-1.347504
-0.022714,0.185927,-1.362083
-0.021248,0.178520,-1.373886
-0.019248,0.169553,-1.389832
-0.017338,0.159018,-1.405751
-0.015058,0.147078,-1.420483
-0.013055,0.133745,-1.441676
-0.011025,0.118891,-1.464576
-0.008911,0.102456,-1.489222
-0.007137,0.084766,-1.515802
