x,y,theta
-0.748098,1.187734,2.169419
-0.759926,1.204402,2.153500
-0.771777,1.221352,2.139227
-0.783484,1.239093,2.125275
-0.794825,1.257277,2.108443
-0.806418,1.275934,2.093677
-0.818222,1.295037,2.081429
-0.829323,1.314742,2.073227
-0.840181,1.334553,2.059481
-0.851182,1.354331,2.041636
-0.861984,1.374984,2.022886
-0.872114,1.395905,2.000942
-0.881510,1.417136,1.979724
-0.891104,1.438553,1.966314
-0.900453,1.460408,1.948575
-0.909254,1.482283,1.929693
-0.917291,1.504144,1.919882
-0.925353,1.526413,1.902019
-0.933517,1.549054,1.886407
-0.941322,1.571365,1.871743
-0.947841,1.594435,1.848035
-0.954743,1.617500,1.838411
-0.961197,1.640805,1.819317
-0.967492,1.664030,1.806864
-0.972969,1.687660,1.789168
-0.978027,1.710652,1.775505
-0.983247,1.734097,1.769286
-0.987660,1.757019,1.754874
-0.992025,1.780815,1.741357
-0.995784,1.803842,1.719786
-0.999438,1.827278,1.697507
-1.002478,1.850160,1.674426
-1.005198,1.873274,1.650006
-1.006958,1.896137,1.630074
-1.008825,1.919711,1.616731
-1.010504,1.943187,1.618850
-1.012449,1.966090,1.619249
-1.013031,1.989300,1.605396
-1.013600,2.011965,1.593651
-1.013987,2.034405,1.574582
-1.013736,2.056741,1.542711
-1.013259,2.078608,1.510152
-1.011935,2.100358,1.483940
-1.010191,2.121687,1.468246
