x,y,theta
-0.914956,1.707050,2.825452
-0.936873,1.715359,2.710587
-0.957585,1.725637,2.569245
-0.975087,1.737395,2.416779
-0.989716,1.749652,2.304910
-1.002909,1.762625,2.213251
-1.015704,1.777750,2.152874
-1.029565,1.795367,2.100788
-1.041003,1.814190,2.066230
-1.051565,1.833230,2.041160
-1.062000,1.853405,2.009445
-1.072137,1.874572,1.976582
-1.080881,1.896000,1.933145
-1.088746,1.917727,1.879523
-1.095673,1.939944,1.814379
-1.101593,1.962229,1.745511
-1.104925,1.985226,1.664507
